Country,Continent,2000,2005,2010,2015,2017,
Algeria,Africa,0.010121736,0.030006592,0.030006592,0.030510479,0.030510479,
Angola,Africa,0.000286209,0.000286209,0.000286209,0.000286209,0.000286209,
Benin,Africa,0,0,0,0,0,
Botswana,Africa,NA,NA,NA,NA,NA,
Burkina Faso,Africa,NA,NA,NA,NA,NA,
Burundi,Africa,NA,NA,NA,NA,NA,
Cameroon,Africa,0,0,0,0,0,
Cape Verde,Africa,0,0,0,0,0,
Central African Republic,Africa,NA,NA,NA,NA,NA,
Chad,Africa,NA,NA,NA,NA,NA,
Comoros,Africa,NA,0.022727203,0.022727203,0.022727203,0.022727203,
Cote d'Ivoire,Africa,0.089601791,0.089601791,0.165658041,0.165658041,0.165658041,
Dem. Rep. Congo,Africa,0.4777651,0.4777651,0.4777651,0.4777651,0.4777651,
Djibouti,Africa,NA,0.172354594,0.172354594,0.172354594,0.172354594,
Egypt,Africa,1.418255959,2.261089357,2.94612881,3.082370341,3.082370341,
Equatorial Guinea,Africa,NA,0.226260226,0.226260226,0.226260226,0.226260226,
Eritrea,Africa,0,0,0,0,0,
Ethiopia,Africa,NA,NA,NA,NA,NA,
Gabon,Africa,NA,0.631140004,0.787931027,0.787931027,0.787931027,
Gambia,Africa,NA,0.04201869,0.04201869,0.04201869,0.04201869,
Ghana,Africa,0.113615411,0.113615411,0.113615411,0.113615411,0.113615411,
Guinea,Africa,0.571185746,0.571185746,0.571185746,0.571185746,0.571185746,
Guinea-Bissau,Africa,8.592045329,8.75662817,8.75662817,8.75662817,8.76047024,
Kenya,Africa,0.726022615,0.728001258,0.729830901,0.796419167,0.796419167,
Lesotho,Africa,NA,NA,NA,NA,NA,
Liberia,Africa,NA,0.081235283,0.106347618,0.106347618,0.106347618,
Libya,Africa,0.002712283,0.002712283,0.002712283,0.002712283,0.002712283,
Madagascar,Africa,0.012808519,0.124111854,0.308978355,0.462594152,0.462594152,
Malawi,Africa,NA,NA,NA,NA,NA,
Mali,Africa,NA,NA,NA,NA,NA,
Mauritania,Africa,3.705014575,3.711373178,3.711373178,3.711373178,3.711373178,
Mauritius,Africa,6.54E-05,0.000679851,0.000679851,0.000679851,0.000679851,
Mayotte,Africa,NA,NA,0.00039246,99.09927658,99.09927658,
Morocco,Africa,0.055148616,0.12511801,0.177133441,0.177990883,0.177990883,
Mozambique,Africa,0.222044781,0.317813657,0.317813657,2.253850448,2.253850448,
Namibia,Africa,0.003701559,0.003701559,1.686971235,1.686971235,1.686971235,
Niger,Africa,NA,NA,NA,NA,NA,
Nigeria,Africa,0.016719696,0.016719696,0.016719696,0.016719696,0.016719696,
Republic of Congo,Africa,3.576024217,3.576024217,3.576024217,3.576024217,3.576024217,
Reunion,Africa,NA,NA,0.005757038,0.005757038,0.005757038,
Rwanda,Africa,NA,NA,NA,NA,NA,
Saint Helena,Africa,NA,NA,NA,NA,NA,
Sao Tome and Principe,Africa,NA,NA,0.003904352,0.003904352,0.003904352,
Senegal,Africa,0.532503275,0.909787394,0.909787394,0.909787394,0.909787394,
Seychelles,Africa,0.01941716,0.019433224,0.019433224,0.032924299,0.032924299,
Sierra Leone,Africa,0.391859208,0.391859208,0.391859208,0.550722984,0.550722984,
Somalia,Africa,0,0,0,0,0,
South Africa,Africa,NA,0.285713574,0.287693317,11.28466092,11.28466092,
South Sudan,Africa,NA,NA,NA,NA,NA,
Sudan,Africa,0.014594894,0.014594894,10.76802649,10.76802649,10.76802649,
Swaziland,Africa,NA,NA,NA,NA,NA,
Tanzania,Africa,0.330468599,2.174518447,2.174518447,2.175731382,2.175731382,
Togo,Africa,0,0,0,0,0,
Tunisia,Africa,0.053013318,0.135485844,0.550152446,0.925653997,0.925653997,
Uganda,Africa,NA,NA,NA,NA,NA,
Western Sahara,Africa,NA,NA,NA,NA,NA,
Zambia,Africa,NA,NA,NA,NA,NA,
Zimbabwe,Africa,NA,NA,NA,NA,NA,
Afghanistan,Asia,NA,NA,NA,NA,NA,
Armenia,Asia,NA,NA,NA,NA,NA,
Bahrain,Asia,0.457558336,0.873464968,1.053368495,1.053368495,1.053368495,
Bangladesh,Asia,1.33094479,2.879550372,2.879550372,4.428188678,4.428188678,
Bhutan,Asia,NA,NA,NA,NA,NA,
Brunei Darussalam,Asia,0.038659843,0.038659843,0.038659843,0.038659843,0.038659843,
Cambodia,Asia,0.129356177,0.129356177,0.129356177,0.129356177,0.129356177,
China,Asia,2.007927972,2.220090988,2.253503468,2.296594493,2.324018105,
Hong Kong,Asia,NA,NA,NA,NA,NA,
India,Asia,0.146765115,0.587794319,0.587794319,0.587794319,0.587794319,
Indonesia,Asia,0.314228802,1.136415621,2.411144302,2.885964836,2.885964836,
Iran,Asia,0.798804682,0.856493137,0.856493137,0.856493137,0.856493137,
Iraq,Asia,NA,NA,NA,NA,NA,
Israel,Asia,0.022139132,0.025000375,0.03412439,0.03412439,0.03412439,
Japan,Asia,6.400729258,6.646056866,6.650594691,7.211083482,7.211083482,
Jordan,Asia,31.76126216,31.76126216,31.76126216,31.76126216,31.76126216,
